"Shape_Leng","Shape_Area","Island","WUI_Riskar","grass_mean","grass_median","pct_dom_grass"
0.155729076564,0.000951470103383,"Hawaii","Hualalai/Kukio",0.383858904724781,0.292346559869068,36.0584276537167
0.24430438076,0.0021451513264,"Hawaii","Kalaoa",0.566525256764392,0.593063599559075,64.4661114496581
0.239271777894,0.00154296497823,"Hawaii","Kaloko",0.425093466586114,0.403629298434323,43.2482009312826
0.240061312147,0.00208295349367,"Hawaii","Holualoa",0.71803609868612,0.783864857241209,80.4314490834321
0.427144125524,0.0039780146977,"Hawaii","Kailua-Kona",0.708849873722647,0.722238066246059,84.4208943730405
0.188793188704,0.00141449882123,"Hawaii","Keauhou",0.709753532704265,0.759378226653122,82.5394378500591
0.117310591926,0.000500164553338,"Hawaii","Kainaliu",0.785266356494275,0.841273680247206,89.0713559075716
0.156570780358,0.00090118189172,"Hawaii","Kealakekua",0.748766047380312,0.805763987234047,85.1884664948454
0.23511319313,0.00240462261519,"Hawaii","Captain Cook",0.735630873017542,0.790070342169721,85.589968273153
0.122345072792,0.000927650803767,"Hawaii","Honaunau",0.692465075914777,0.736111653564886,83.3594116726647
0.128711905364,0.000754495585184,"Hawaii","Honaunau/Papa",0.743798379961,0.784413391681281,87.0992586887456
0.243780438681,0.00179552723093,"Hawaii","Honaunau/Papa South",0.426588873928248,0.41882719112227,41.7637540453074
0.138860646985,0.000835344843738,"Hawaii","Milolii",0.3672009608823,0.334108159391039,34.658201426335
0.20162433481,0.00107307682849,"Hawaii","Honomalino",0.402007481904025,0.357371408376966,41.3944978994444
0.327683390235,0.00414274479143,"Hawaii","Hawaiian Ocean View Estates",0.22420048412885,0.148560887160387,14.2934792137885
0.257022855363,0.00208042717729,"Hawaii","Rancho Estates",0.17894163923294,0.0652280956653593,13.0597145150595
0.163809062428,0.000774738157924,"Hawaii","Kiolakaa",0.551921057257514,0.589478421823975,56.6295499204641
0.0907537573996,0.000394671079859,"Hawaii","South Point Mauka",0.769221155643159,0.833322568913934,87.4561888950378
0.0628943534572,0.000133594417216,"Hawaii","South Point Makai",0.87434610592365,1,87.7240630092341
0.153260162941,0.00116651380108,"Hawaii","Discovery Harbor",0.739334734576347,0.738252816367162,92.3421740754576
0.16153965102,0.00113081106875,"Hawaii","Naalehu",0.915199271588845,0.992001753893034,99.2805293248539
0.0354062546274,8.20214469471e-05,"Hawaii","Punalulu",0.880248881784516,0.940212376946235,99.2042440318302
0.0858755231709,0.000565294198387,"Hawaii","Pahala",0.869093414625125,0.903908129410297,99.563038169901
0.0622150823871,0.00028837838953,"Hawaii","Wood Valley",0.928266824425765,1,97.8135209851721
0.115880901058,0.000519012808352,"Hawaii","Opihikau/Pohoiki",0.649247326022604,0.708002558812112,69.304992308768
0.0760392188967,0.000404028834434,"Hawaii","Blacksands Subdivisions",0.721062459373228,0.747268781623661,82.8520179372197
0.129308034326,0.000791403999766,"Hawaii","Kehena",0.622682991232151,0.644486804009767,58.5007798880631
0.0748449921166,0.000401126357313,"Hawaii","N Kahoe Homestead Rd",0.875616249914486,0.940292355503812,97.033821667571
0.39736227684,0.00276621630149,"Hawaii","Leilani Estates/Kaueleau",0.834873685071468,0.942921715271803,89.6744552375952
0.179824057182,0.000755127702469,"Hawaii","Leilani Estates/Pohoiki Rd",0.530432095811646,0.663499272792644,53.2436328688131
